region,carrier_name,mean_download_kbps_mean,mean_latency_ms_mean,high_confidence_anomaly_sum,high_confidence_anomaly_mean,methods_agree_sum
Port Said,Operator B,192846.94936708861,32.434599156118146,53,0.07454289732770746,167
Giza,Operator B,221221.48050458715,24.326834862385322,51,0.058486238532110095,203
Sharqia,Operator B,110410.78132678133,52.356265356265354,35,0.085995085995086,105
Fayoum,Operator B,67186.04033970275,46.93630573248408,28,0.029723991507430998,95
Giza,Operator C,184643.47378640776,34.60388349514563,26,0.05048543689320388,97
Assiut,Operator C,221506.92857142858,76.53571428571429,17,0.6071428571428571,49
Dakahlia,Operator B,118982.20634920635,40.54563492063492,15,0.02976190476190476,50
Gharbia,Operator C,268587.3793103448,59.89655172413793,13,0.4482758620689655,32
Gharbia,Operator B,245553.375,41.160714285714285,13,0.11607142857142858,36
Minya,Operator B,123243.4979757085,48.125506072874494,12,0.048582995951417005,36
Assiut,Operator B,240173.37931034484,42.10344827586207,12,0.10344827586206896,41
Cairo,Operator B,125624.4274509804,41.98039215686274,11,0.043137254901960784,34
Monufia,Operator B,213626.5,38.15277777777778,9,0.125,34
Giza,Operator A,158557.77933450087,29.810858143607707,9,0.01576182136602452,41
Sharqia,Operator C,94609.58646616542,45.36842105263158,7,0.05263157894736842,20
Dakahlia,Operator C,128026.24669603525,33.731277533039645,5,0.022026431718061675,16
Ismailia,Operator B,157256.93433395872,29.00187617260788,5,0.009380863039399626,35
Fayoum,Operator C,63122.28787878788,51.196969696969695,4,0.06060606060606061,15
Cairo,Operator A,142517.9927536232,34.42028985507246,4,0.028985507246376812,12
Port Said,Operator C,210299.16560509554,29.254777070063696,3,0.01910828025477707,18
Cairo,Operator C,172542.03174603175,37.48412698412698,3,0.023809523809523808,9
Alexandria,Operator A,199237.8510638298,27.340425531914892,3,0.06382978723404255,9
Sharqia,Operator A,154604.3046875,33.4140625,2,0.015625,14
Fayoum,Operator A,110563.84126984127,37.55555555555556,2,0.031746031746031744,7
Alexandria,Operator C,181405.5357142857,44.0,2,0.03571428571428571,6
Dakahlia,Operator A,152391.62724014337,27.11111111111111,2,0.007168458781362007,15
Sohag,Operator B,112637.13245033112,45.83443708609271,1,0.006622516556291391,2
Ismailia,Operator C,244800.23684210525,36.28947368421053,1,0.013157894736842105,7
Ismailia,Operator A,96431.14583333333,27.78125,1,0.010416666666666666,2
Alexandria,Operator B,145329.25170068027,40.48299319727891,0,0.0,5
Assiut,Operator A,159002.66666666666,46.0,0,0.0,0
Port Said,Operator A,149127.0390625,28.53125,0,0.0,1
Monufia,Operator A,177929.0,26.333333333333332,0,0.0,0
Minya,Operator C,207560.0185185185,42.81481481481482,0,0.0,2
Minya,Operator A,103238.04444444444,40.955555555555556,0,0.0,0
Monufia,Operator C,62293.0,37.0,0,0.0,0
Sohag,Operator A,106232.61764705883,44.1764705882353,0,0.0,0
Sohag,Operator C,46257.5,47.57142857142857,0,0.0,2
